tree_id=3
name=Radio Gesundheit topic tree
shortname=Gesundheit
description=Ein detailiertes Themen-Verzeichnis von Radio Gesundheit
url=

# End of tree definition

  1 1 Kunst, Kultur, Medien, Unterhaltung

198 3   Revolutionäre Gruppen
199 3   Anarchismus
200 3   Kapitalismus
201 3   Kommunismus
202 3   Faschismus und Nationalsozialismus

203 1 Sport

204 2  Breitensport
205 3   Baseball
206 3   Basketball
207 3   Billiard
208 3   Bowling
209 3   Cricket
210 3   Croquet
211 3   Radfahren
212 3   Fischen
213 3   Fußball
214 3   Turnen
215 3   Handball
216 3   Hockey
217 3   Reiten
218 3   Golf
219 3   Jagd
220 3   Gaelic (Rugby-Variante)
221 3   Goalball (Torball-Variante)
222 3   Informelle Sportarten
223 3   Jai Alai (Squash-Variante)
224 3   Kabbadi (Fangspiel-Variante)
225 3   Korfball (Basketball-Variante)
226 3   Korbball
227 3   Lacrosse (Hockey-Variante)
228 3   Rodeo
229 3   Holzhacken
230 3   Racquetball (Squash-Variante)
231 3   Hüpfseilspringen
232 3   Handball
233 3   Tennis
234 3   Laufen
235 3   Rounders (Baseball-Variante)
236 3   Sepak Takraw (Volleyball-Variante)
237 3   Skateboard
238 3   Eislauf
239 3   Tischtennis
240 3   Tchoukball (Handball-Variante)
241 3   Softball
242 3   Squash
243 3   Volleyball
244 3   Walking
245 3   Badminton
246 3   Fechten
247 3   Wrestling
248 2  Leistungssport
249 3   Bogenschießen
250 3   Boxen
251 3   Dressurreiten
252 3   Dikuswurf
253 3   Motorsport
254 3   Hindernislauf
255 3   Orientierungslauf
256 3   Leichtathletik
257 3   Kraftsport
258 3   Schießen
259 2  Funsport
260 3   Airsoft (Militär-Schusspiel)
261 3   Boomerang
262 3   Schlachtenbummler
263 3   Darts
264 3   Paintball (Militär-Schusspiel)
265 3   Paddleball (Geschicklichkeitsspiel)
266 3   Petanque (Boule- bzw. Boccia-Variante)
267 3   Boccia
268 2  Passivsport
269 3   Tierwettkämpfe
270 3   Greyhound Racing (Hunderennen)
271 2  Extremsport
272 2  Wassersport
273 2  Wintersport

274 1 Wirtschaft

275 2  Unternehmensformen
276 3   Genossenschaften
277 3   Gesellschaft m.b.H.
278 3   Kommanditgesellschaft
279 3   Offene Handelsgesellschaft
280 3   Offene Erwerbsgesellschaft
281 3   Aktiengesellschaften
282 2  Unternehmensgrößen
283 3   Große Unternehmen
284 3   KMU's
285 3   Einzelunternehmer, Kleinstunternehmer
286 2  Unternehmensbereiche
287 3   Finanzen, Buchhaltung, etc.
288 3   Kundendienst
289 3   E-Commerce
290 3   Aus- und Weiterbildung
291 3   Management
292 3   Verkauf, Marketing und Werbung
293 3   IT
294 3   Logistik
295 3   Personal
296 3   Einkauf
297 2  Allgemeine Wirtschaftsthemen
298 3   Internationaler Handel, Export
299 3   Investionen
300 3   Finanzdienstleistungen
301 3   Beschäftigung
302 3   Arbeiter und Angestellte

303 1 Verkauf und Verbrauchsgüter

304 2  Konsumgüter
305 3   Antiquitäten
306 3   Schönheitsprodukte
307 3   Bücher
308 3   Spielsachen
309 3   Kleidung
310 3   Unterhaltungselektronik
311 3   Kunsthandwerk
312 3   Bestattung
313 3   Unterhaltung
314 3   traditionelle und regionale Produkte
315 3   Blumen
316 3   Nahrungsmittel
317 3   Möbel
318 3   Allgemeine Handelsware
319 3   Geschenkartikel
320 3   Gesundheitsartikel
321 3   Urlaub
322 3   Heim und Garten
323 3   Schmuck
324 3   Musik
325 3   Haustiere
326 3   Photographie
327 3   Magazine
328 3   Erholung
329 3   Rauchwaren
330 3   Kinderspielzeug
331 3   Reisen
332 3   Heiratsanzeigen
333 2  Produktionsgüter
334 3   Computer
335 3   Büroartikel
336 3   Werkzeug
337 3   Fahrzeuge
